60-64,Country,50-54,55-59,70-74,65-69,Year,Country_Name,Male,Cause,75 +
0.0,2045,0.0,0.0,0.0,2.0,2000,Belize,1,I500,6.0
0.0,2045,0.0,0.0,4.0,0.0,2000,Belize,0,I500,8.0
2.0,2045,0.0,4.0,2.0,0.0,2000,Belize,1,I509,12.0
0.0,2045,1.0,2.0,0.0,4.0,2000,Belize,0,I509,9.0
0.0,2045,0.0,0.0,2.0,0.0,2000,Belize,1,I517,0.0
0.0,2045,2.0,0.0,0.0,0.0,2000,Belize,1,I519,2.0
0.0,2045,0.0,0.0,2.0,2.0,2000,Belize,0,I519,0.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,0,I614,2.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,0,I615,2.0
0.0,2045,0.0,0.0,0.0,2.0,2000,Belize,1,I619,2.0
0.0,2045,0.0,0.0,0.0,2.0,2000,Belize,1,I620,0.0
0.0,2045,2.0,8.0,12.0,6.0,2000,Belize,1,I64,22.0
6.0,2045,4.0,6.0,4.0,6.0,2000,Belize,0,I64,30.0
0.0,2045,2.0,0.0,0.0,0.0,2000,Belize,0,I674,0.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,1,I709,4.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,0,I709,2.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,0,I713,2.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,1,I739,2.0
0.0,2045,0.0,0.0,2.0,0.0,2000,Belize,1,I749,2.0
2.0,2045,0.0,0.0,0.0,0.0,2000,Belize,1,I829,0.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,1,I879,2.0
0.0,2045,0.0,0.0,0.0,0.0,2000,Belize,1,I959,2.0
1.0,2045,3.0,2.0,10.0,3.0,2001,Belize,1,I10,14.0
3.0,2045,1.0,1.0,4.0,4.0,2001,Belize,0,I10,18.0
0.0,2045,0.0,0.0,0.0,0.0,2001,Belize,1,I209,1.0
0.0,2045,2.0,2.0,6.0,3.0,2001,Belize,1,I219,9.0
